customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00001,Male,0,Yes,Yes,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,20.76,288.9,No
CUST-00002,Male,0,No,No,21,Yes,No,No,No,No,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),88.41,1840.64,Yes
CUST-00003,Male,1,No,Yes,25,Yes,Yes,DSL,No,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Mailed check,89.06,2181.08,Yes
CUST-00004,Female,0,Yes,Yes,21,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,No,Two year,Yes,Credit card (automatic),64.71,1335.9,No
CUST-00005,Female,0,Yes,No,19,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),44.87,827.19,No
CUST-00006,Female,0,No,Yes,71,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,Yes,No internet service,One year,No,Bank transfer (automatic),104.76,7389.11,No
CUST-00007,Male,0,No,Yes,65,No,No,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,Yes,One year,Yes,Electronic check,79.45,5129.53,No
CUST-00008,Female,1,Yes,No,69,Yes,No,Fiber optic,No,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,95.22,6533.02,Yes
CUST-00009,Male,0,No,No,1,Yes,Yes,No,No internet service,No,No,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),25.38,38.49,No
CUST-00010,Male,0,No,No,46,Yes,Yes,Fiber optic,No,Yes,Yes,No,No internet service,Yes,One year,No,Electronic check,60.82,2794.42,No
CUST-00011,Male,0,No,No,7,Yes,No phone service,DSL,Yes,Yes,No,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),83.79,590.59,No
CUST-00012,Female,0,No,No,20,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,37.33,718.37,Yes
CUST-00013,Male,0,No,Yes,6,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No internet service,One year,No,Electronic check,80.5,474.92,No
CUST-00014,Female,0,No,No,69,Yes,No,No,No internet service,No,Yes,No internet service,Yes,No,Two year,No,Mailed check,39.67,2713.75,No
CUST-00015,Female,0,No,No,34,Yes,No phone service,DSL,Yes,No,No internet service,Yes,Yes,Yes,One year,No,Mailed check,29.85,975.6,No
CUST-00016,Male,0,No,No,57,Yes,Yes,DSL,No,No internet service,No,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,73.69,4193.1,No
CUST-00017,Male,1,Yes,No,46,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,96.65,4484.31,Yes
CUST-00018,Female,0,Yes,Yes,49,Yes,Yes,No,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),105.9,5224.96,No
CUST-00019,Male,0,No,No,4,Yes,No,No,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,29.84,166.4,Yes
